"issueId";0;"issueTypeCode"
829881;"S_CO01";"O_CO07"
829994;"S_CO04";"S_CO04"
830018;"O_CO01";"O_CO01"
830023;"O_CO08";"O_CR09"
830034;"D_4F01";"O_CO03"
830050;"S_CO04";"S_CO04"
830054;"O_CO06";"O_CO06"
830214;"O_CR09";"R_4F07"
830790;"O_CO02";"O_CO03"
830791;"O_CO02";"O_CO03"
830804;"O_CO02";"O_CO02"
830806;"D_4F01";"D_4F01"
830823;"D_4F01";"D_4F01"
830981;"O_CR01";"O_CR01"
830983;"O_CR01";"O_CR01"
830985;"O_CO08";"O_CO08"
831128;"O_CO08";"O_CO08"
831140;"D_4F01";"O_HU05"
831141;"S_CO04";"S_CO04"
831213;"O_CO02";"O_CO02"
831214;"O_CO02";"O_CO02"
831231;"O_CO02";"O_CO02"
831390;"O_CO02";"O_CO02"
831951;"D_4F01";"D_4F01"
832365;"O_HU01";"O_HU01"
832902;"O_CR01";"O_CR01"
835308;"O_CO02";"O_CO02"
835467;"O_CR01";"O_CR01"
835592;"D_4F01";"D_4F01"
835596;"D_4F01";"O_CR08"
835858;"O_CO06";"O_CO06"
835865;"O_CO06";"O_CO06"
835866;"O_CO06";"O_CO06"
836533;"O_CR09";"O_CO01"
836947;"O_CR01";"D_4F01"
837107;"D_4F01";"O_CO08"
838631;"O_CR01";"O_HU02"
838708;"O_CO02";"O_CO03"
838709;"O_CO02";"O_CO03"
838830;"D_4F01";"D_4F01"
839072;"O_CO03";"O_CO03"
839081;"O_CO03";"O_CO03"
839082;"O_CO03";"O_CO03"
839083;"O_CO02";"O_CO02"
839225;"O_CO03";"O_CO03"
839396;"O_CO01";"O_RE03"
839399;"D_4F01";"D_4F01"
840341;"O_CR06";"D_4F01"
840442;"D_4F01";"D_4F01"
842052;"R_4F04";"R_4F05"
842246;"O_CO06";"O_CO06"
843443;"R_4F06";"R_4F08"
843725;"O_CO04";"O_CO01"
843784;"O_CR01";"O_CR01"
844806;"O_CR01";"O_CR01"
844934;"O_CR01";"O_CR02"
845143;"O_CO02";"O_CO02"
845596;"D_4F01";"D_4F01"
845709;"O_CO07";"S_RE01"
845903;"O_CO08";"D_4F01"
846231;"D_4F01";"D_4F01"
846351;"R_4F06";"R_4F06"
846381;"O_CO03";"O_CO02"
846384;"O_CO02";"O_CO02"
846443;"O_CO02";"O_CO02"
846444;"O_CO02";"O_CO02"
846447;"O_CO02";"O_CO02"
846563;"O_CO02";"O_CO02"
846755;"O_CO08";"O_CO08"
848694;"O_CO01";"O_RE03"
848701;"D_4F01";"D_4F01"
848702;"O_CO01";"O_RE03"
848704;"O_CO04";"O_CO03"
848778;"O_CO08";"O_CO08"
848797;"O_CO08";"O_CO08"
848798;"O_CO08";"O_CO08"
848799;"O_CR01";"O_CR01"
848905;"O_HU01";"O_HU01"
848911;"O_CO02";"O_CO02"
849675;"O_CO06";"O_CO06"
850006;"O_CR09";"O_CR09"
850052;"O_CO01";"O_CO01"
850267;"O_CO03";"O_CO03"
851208;"S_CO04";"S_CO04"
851371;"R_4F03";"R_4F03"
851456;"D_4F01";"D_4F01"
851708;"O_CO06";"O_CO06"
851710;"O_CO04";"O_CO04"
851716;"O_CO02";"O_CO02"
851735;"O_CR06";"O_CR06"
851739;"O_CR06";"O_CR06"
851741;"O_CR06";"O_CR06"
851742;"O_CR06";"O_CR06"
851758;"O_CO06";"O_CR06"
851823;"O_CO06";"O_CR06"
851824;"O_CO06";"O_CR06"
851861;"D_4F01";"D_4F01"
851863;"D_4F01";"D_4F01"
852038;"D_4F01";"D_4F01"
852103;"D_4F01";"O_CO08"
852145;"O_CO02";"O_CO02"
852468;"O_RE03";"O_RE03"
852599;"D_4F01";"D_4F01"
852617;"O_CO06";"O_CO06"
852681;"O_CO01";"O_CO01"
852856;"D_4F01";"D_4F01"
853013;"D_4F01";"D_4F01"
853222;"O_CO08";"O_CO08"
854312;"D_4F01";"D_4F01"
854313;"D_4F01";"D_4F01"
855689;"O_CO06";"O_CO06"
855691;"O_CO06";"O_CO06"
855699;"O_CO06";"O_CO06"
855706;"O_CO04";"O_CO04"
855707;"S_CO03";"S_CO03"
855782;"O_CO08";"O_CO08"
855810;"O_CO04";"O_CR01"
855821;"O_CO08";"O_CO08"
855849;"O_CO04";"O_CO04"
855852;"O_RE03";"O_HU02"
855915;"O_CO06";"O_CO06"
855953;"O_CR01";"O_CR02"
855954;"O_CR01";"O_CR02"
855956;"O_CR01";"O_CR02"
855958;"O_CR02";"O_CR02"
856105;"O_CO08";"O_CO08"
856175;"D_4F01";"D_4F01"
856232;"O_CO02";"O_CO03"
856233;"O_CO02";"O_CO03"
856235;"O_CO02";"O_CO03"
856241;"O_CO02";"O_CO03"
856242;"O_CO02";"O_CO02"
856244;"O_CO03";"O_CO02"
856274;"O_CO03";"O_CO03"
856291;"S_CO03";"S_CO03"
856313;"O_CO03";"O_CO03"
856343;"O_CO03";"O_CO03"
856365;"O_CO03";"O_CO03"
856485;"O_CR02";"O_CR02"
856587;"D_4F01";"D_4F01"
856592;"D_4F01";"D_4F01"
856694;"O_CR02";"O_CR02"
